"","bike_station.id","bike_lat","bike_long","bike_nRides_start","bike_durationMed_start","startTimeAvg","startTimeSd","endLatAvg","endLatSd","endLongAvg","endLongSd","bike_females_start","males.x","bike_ageMed_start","bike_nRides_end","bike_durationMed_end","endTimeAvg","endTimeSd","startLatAvg","startLatSd","startLongAvg","startLongSd","bike_females_end","males.y","bike_ageMed_end"
"1",72,40.76727216,-73.99392888,22266,795,14:00:41,0.198570059357586,40.7500256576495,0.0181392309035727,-73.9919250246358,0.0128099369197533,0.234438156831043,0.764843258780203,38,22054,801,14:56:47,0.206873913707248,40.750406837382,0.0198070433978784,-73.9925622207867,0.0128393122232689,0.237961367552371,0.761041080983042,38
"2",79,40.71911552,-74.00666661,18312,608,15:15:19,0.194339149673573,40.7254297386511,0.016262370720808,-73.9998477007768,0.0123605459005114,0.25698995194408,0.741317169069463,41,19329,605,13:28:13,0.196272581360475,40.7270421715774,0.0152239855420995,-73.9980973499172,0.0125113350129795,0.244968699881008,0.753737906772208,40
"3",82,40.71117416,-74.00016545,7040,473,14:14:38,0.209340333080363,40.7166715665959,0.0138449012364772,-73.9959077016671,0.012427205955524,0.228835227272727,0.761647727272727,44,6892,439.5,15:41:23,0.212409321890907,40.7172191876424,0.0133572595674019,-73.9975446383328,0.0116009310302335,0.230266976204295,0.748694138131167,44
"4",83,40.68382604,-73.97632328,8163,603,15:32:59,0.217454982783984,40.6955038019679,0.0163472807661881,-73.9741780747343,0.0158464463859763,0.255910817101556,0.739801543550165,36,8311,724,15:44:56,0.196369549770532,40.6981133717527,0.0191595222534261,-73.9774241981375,0.0168484300553538,0.234267837805318,0.762603778125376,36
"5",116,40.74177603,-74.00149746,42508,498,14:27:57,0.208065497287325,40.7430605955031,0.0135226067107585,-73.9946572400965,0.0104738392303911,0.212924625952762,0.782041027571281,38,43156,499,14:17:38,0.214783254062097,40.7392177972872,0.0137545648460925,-73.9947499513676,0.0107544681970987,0.223491519139865,0.770900917601261,37
"6",119,40.69608941,-73.97803415,1617,516,12:11:34,0.191880692793492,40.7003912526081,0.0129875214500509,-73.984351562715,0.011602888128352,0.223252937538652,0.77612863327149,43,1750,425,15:32:16,0.212286584897278,40.7001381763903,0.0134100827180572,-73.9834799116222,0.0116178048747494,0.198285714285714,0.801714285714286,44
"7",120,40.68676793,-73.95928168,4817,606,12:44:14,0.21665142222889,40.6965910288915,0.0165424975258003,-73.9723674026662,0.0168757751281748,0.317625077849284,0.670126634834959,34,4529,632,16:34:26,0.225752730312905,40.6957514624633,0.0162100200551658,-73.9699493845694,0.0157943438438019,0.327003753587988,0.665709869728417,35
"8",127,40.73172428,-74.00674436,43228,610,14:19:09,0.201214215718697,40.7360602831382,0.0154869957684449,-73.9976523322191,0.0106788992695687,0.26556861293606,0.732418802627926,38,43668,610,14:44:24,0.197928691721353,40.7345684313155,0.015882508219031,-73.9976205461179,0.0111397731244887,0.269945955848676,0.728473939727031,38
"9",128,40.72710258,-74.00297088,40686,618,14:54:14,0.205662239028295,40.7313080462995,0.202514320296626,-73.9931828891053,0.367023253860434,0.266971439807305,0.730324927493487,36,42190,598,14:27:01,0.21069294823355,40.7309035133142,0.0144756648622394,-73.9934117018196,0.0115693969269871,0.273358615785731,0.724650391087935,35
"10",137,40.761628,-73.972924,15014,663,15:29:06,0.125979806186416,40.7564677247276,0.0150448102086575,-73.9802691455444,0.0126658699935471,0.154389236712402,0.84487811376049,41,16386,614,11:16:34,0.163442139745736,40.7589767477716,0.0152612992369087,-73.9802611850201,0.0115323818177986,0.168985719516661,0.830404003417552,39
"11",143,40.69239502,-73.99337909,8372,534.5,13:44:29,0.202919080234681,40.7016981921617,0.0181313685309405,-73.9900703876558,0.0134377592983256,0.269708552317248,0.729694218824654,40,8330,584,14:24:49,0.215289235989153,40.6985996070066,0.018281413547799,-73.9881778034101,0.0146175856781909,0.272989195678271,0.726290516206483,39
"12",144,40.69839895,-73.98068914,2947,853,15:17:10,0.199005575027042,40.7057511923549,0.0174673697942701,-73.9778493818152,0.0166107251700454,0.275534441805226,0.720732948761452,36,3344,871.5,14:38:54,0.202060529277207,40.7065984813419,0.0183897159063162,-73.9762957450088,0.0171229426586985,0.289174641148325,0.707236842105263,36
"13",146,40.71625008,-74.0091059,17739,524,14:53:48,0.208521534011807,40.7254121124109,0.0163951778777942,-74.002400933603,0.011065931455318,0.275212807937313,0.723152376120413,41,18098,532,14:23:56,0.191872244846398,40.723383262477,0.015626437706705,-74.0013387426809,0.0116590367328603,0.266769808818654,0.731185766383026,42
"14",147,40.71542197,-74.01121978,33353,598,15:26:32,0.183087263264761,40.7207481010454,0.315874079141098,-73.9968695064055,0.573166376160057,0.263604473360717,0.726021647228135,41,35397,623,14:16:33,0.202018568150928,40.7262304944205,0.0184253851241575,-74.0013266239458,0.0117343299654682,0.277481142469701,0.71587987682572,41
